abies fraseri
vaccinium myrtilloides
vaccinium ovalifolium
vaccinium uliginosum
valerianella locusta
verbascum blattaria
verbascum thapsus
verbena officinalis
verbena rigida
veronica alpina
veronica alpina subsp. wormskjoldii
veronica anagallis-aquatica
veronica arvensis
veronica beccabunga
veronica dillenii
veronica filiformis
veronica grandiflora
veronica chamaedrys
veronica peregrina
veronica polita
veronica scutellata
veronica serpyllifolia
viburnum lantana
vicia angustifolia
vicia cracca
vicia grandiflora
vicia hirsuta
vicia lathyroides
vicia lutea
vicia nigricans
vicia pannonica
vicia sativa
vicia sepium
vicia tetrasperma
vicia villosa
vigna luteola
vinca major
vinca minor
vincetoxicum hirundinaria
viola arvensis
viola epipsila
viola nuttallii
viola palustris
viscum album
vitex trifolia
wolffia arrhiza
woodsia ilvensis
xanthisma spinulosum
xanthium albinum
xanthium spinosum
xanthium strumarium
xanthorhiza simplicissima
yucca flaccida
yucca glauca
zannichellia palustris
zea mays
zigadenus elegans
zigadenus venenosus
zinnia peruviana
zizia aptera
